"id","station_code","station_location","created_at","updated_at","deleted_at"
94,BUF,"Buffalo - Depew, NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
95,BUR,"Burbank - Airport, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
96,BCV,"Burke - Burke Centre, VA","2024-01-14 09:56:05","2024-01-14 09:56:05",
97,BRL,"Burlington, IA","2024-01-14 09:56:05","2024-01-14 09:56:05",
98,BNC,"Burlington, NC","2024-01-14 09:56:05","2024-01-14 09:56:05",
99,BNS,"Burns, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
100,BUT,"Butte - Bus Station, MT","2024-01-14 09:56:05","2024-01-14 09:56:05",
101,ESX,"Burlington, VT","2024-01-14 09:56:05","2024-01-14 09:56:05",
102,ABB,"Colby, WI","2024-01-14 09:56:05","2024-01-14 09:56:05",
103,CBZ,"Cabazon - Bus Stop, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
104,CLC,"Cadillac, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
105,CGY,"Calgary - Bus Station, AB","2024-01-14 09:56:05","2024-01-14 09:56:05",
106,CML,"Camarillo, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
107,CDE,"Cambridge, MD","2024-01-14 09:56:05","2024-01-14 09:56:05",
108,CMD,"Camden - Bus Stop, AL","2024-01-14 09:56:05","2024-01-14 09:56:05",
109,CAM,"Camden, SC","2024-01-14 09:56:05","2024-01-14 09:56:05",
110,CDN,"Camden-Rockport, ME","2024-01-14 09:56:05","2024-01-14 09:56:05",
111,CVD,"Camp Verde, AZ","2024-01-14 09:56:05","2024-01-14 09:56:05",
112,CBO,"Cannon Beach, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
113,CDL,"Carbondale, IL","2024-01-14 09:56:05","2024-01-14 09:56:05",
114,CRV,"Carlinville, IL","2024-01-14 09:56:05","2024-01-14 09:56:05",
